date,product_category,region,units_sold,revenue,profit,new_customers,returning_customers,churn_rate,orders,avg_order_value,returns_units,return_rate,marketing_spend,operating_cost,net_profit,inventory_units,stockout_days
2020-01-06,Electronics,North,272,58843.41,13047.63,19,77,0.0602,97,583.74,10,0.0368,5393.78,23212.31,-10164.68,488,2
2020-01-06,Electronics,South,221,130206.23,37116.93,42,103,0.0561,213,599.42,10,0.0452,7929.57,32456.67,4660.26,656,0
2020-01-06,Electronics,East,193,71984.94,25528.01,37,99,0.0477,133,523.98,14,0.0725,10852.67,31070.52,-5542.51,570,2
2020-01-06,Electronics,West,246,61680.23,16452.86,38,89,0.0444,90,705.84,16,0.065,6511.79,36166.9,-19714.04,617,3
2020-01-06,Clothing,North,373,18798.5,3910.56,24,137,0.0486,221,87.43,13,0.0349,1784.41,7857.56,-3947.0,939,3
2020-01-06,Clothing,South,354,18253.24,6318.3,71,157,0.0416,148,126.33,13,0.0367,1774.54,9067.24,-2748.94,1146,2
2020-01-06,Clothing,East,446,20611.06,6848.61,39,193,0.0378,243,80.81,9,0.0202,1264.59,6345.23,503.38,778,0
2020-01-06,Clothing,West,367,24391.73,7930.89,36,135,0.0523,235,106.31,32,0.0872,2197.65,9502.15,-1571.26,972,1
2020-01-06,Groceries,North,843,11144.07,4817.3,85,321,0.0355,436,26.85,37,0.0439,785.89,3432.03,1385.27,1581,3
2020-01-06,Groceries,South,778,9323.3,2482.46,69,272,0.0464,290,31.99,28,0.036,751.46,3223.03,-740.57,1200,2
2020-01-06,Groceries,East,729,11281.5,3915.55,92,249,0.0533,351,32.67,18,0.0247,718.58,3844.3,71.25,1603,0
2020-01-06,Groceries,West,815,16410.9,5221.42,113,274,0.0446,547,29.79,28,0.0344,1300.27,4096.05,1125.37,1834,2
2020-01-06,Furniture,North,119,31304.98,8207.04,13,28,0.053,38,795.06,6,0.0504,4236.63,18242.17,-10035.13,232,0
2020-01-06,Furniture,South,161,83116.85,34258.6,6,41,0.0503,82,972.17,5,0.0311,4049.78,24107.76,10150.84,282,4
2020-01-06,Furniture,East,124,107535.06,40820.53,8,55,0.0405,113,946.36,12,0.0968,4437.87,24723.97,16096.56,305,1
2020-01-06,Furniture,West,125,43891.07,15307.4,10,31,0.0476,65,697.15,3,0.024,3531.88,18349.6,-3042.2,281,1
2020-01-06,Sports,North,130,20226.9,6046.76,24,56,0.0372,97,214.12,5,0.0385,1977.17,8477.36,-2430.6,396,2
2020-01-06,Sports,South,217,34782.8,10169.86,12,72,0.0469,158,212.1,16,0.0737,1430.2,7236.83,2933.03,444,2
2020-01-06,Sports,East,210,16221.56,5487.85,31,82,0.0524,89,189.72,16,0.0762,1756.81,7461.05,-1973.2,528,1
2020-01-06,Sports,West,262,21045.69,7561.26,16,71,0.0555,82,249.88,16,0.0611,1682.99,8867.28,-1306.02,486,3
2020-01-13,Electronics,North,299,53204.9,22598.54,27,95,0.0443,100,542.45,27,0.0903,5623.68,24370.93,-1772.39,503,2
2020-01-13,Electronics,South,270,137498.6,55369.71,18,84,0.0494,213,616.19,21,0.0778,7470.06,34497.21,20872.5,650,0
2020-01-13,Electronics,East,292,88829.66,35900.21,12,69,0.0513,174,525.09,24,0.0822,10670.5,31094.83,4805.38,586,3
2020-01-13,Electronics,West,246,27633.72,12015.4,49,99,0.0531,39,706.0,8,0.0325,6512.98,33501.51,-21486.11,630,3
2020-01-13,Clothing,North,390,13918.04,5249.83,44,175,0.0462,164,87.0,24,0.0615,1590.88,7606.13,-2356.3,943,1
2020-01-13,Clothing,South,388,20918.2,5801.06,16,97,0.0451,168,127.05,16,0.0412,1747.14,9250.49,-3449.43,1213,1
2020-01-13,Clothing,East,414,20459.2,7058.35,34,121,0.0361,238,86.57,22,0.0531,1291.6,7545.72,-487.37,899,0
2020-01-13,Clothing,West,347,15945.44,5871.09,61,111,0.0474,148,105.1,7,0.0202,2250.05,9437.37,-3566.28,998,1
2020-01-13,Groceries,North,864,7711.43,1552.98,86,250,0.0343,258,29.43,24,0.0278,702.42,3382.88,-1829.9,1603,2
2020-01-13,Groceries,South,794,9548.6,3331.15,39,320,0.0471,281,32.4,54,0.068,817.82,3133.05,198.1,1211,0
2020-01-13,Groceries,East,754,10616.88,3507.02,120,228,0.0494,319,32.42,19,0.0252,734.27,4058.53,-551.51,1515,4
2020-01-13,Groceries,West,807,13280.35,4036.48,100,270,0.0571,464,28.5,74,0.0917,1091.1,3806.74,229.74,1897,0
2020-01-13,Furniture,North,23,10997.76,3701.11,2,4,0.0469,14,766.58,0,0.0,865.55,3686.87,14.24,221,2
2020-01-13,Furniture,South,123,50928.97,17371.77,14,47,0.048,55,935.9,3,0.0244,4043.35,23984.46,-6612.69,297,2
2020-01-13,Furniture,East,120,66676.5,13658.4,8,1,0.0352,72,966.47,5,0.0417,4455.73,24034.21,-10375.81,289,0
2020-01-13,Furniture,West,129,55501.12,14124.54,14,28,0.0447,78,707.03,4,0.031,3110.09,17885.12,-3760.58,321,3
2020-01-13,Sports,North,277,17910.29,6783.59,8,87,0.0439,83,218.04,19,0.0686,2271.01,9297.18,-2513.59,498,0
2020-01-13,Sports,South,218,12651.01,3609.43,24,73,0.0361,63,200.69,6,0.0275,1774.48,7575.78,-3966.35,457,0
2020-01-13,Sports,East,277,17700.27,5467.5,19,83,0.046,91,194.83,24,0.0866,1739.59,6999.92,-1532.42,540,0
2020-01-13,Sports,West,222,20791.69,8305.41,14,55,0.0558,86,248.93,16,0.0721,1696.48,8900.15,-594.74,473,2
2020-01-20,Electronics,North,279,50538.71,11283.44,22,88,0.0711,92,533.7,12,0.043,4991.91,22393.55,-11110.11,463,0
2020-01-20,Electronics,South,278,79821.77,18350.12,54,55,0.0487,136,605.54,9,0.0324,7897.3,33501.08,-15150.96,603,0
2020-01-20,Electronics,East,308,76391.7,25479.21,35,77,0.0587,151,531.74,19,0.0617,10619.63,30749.93,-5270.72,604,1
2020-01-20,Electronics,West,200,80788.38,25806.42,33,77,0.0431,113,684.74,5,0.025,5966.45,33423.73,-7617.31,627,4
2020-01-20,Clothing,North,467,13521.73,4470.87,27,126,0.0473,153,90.87,41,0.0878,1693.66,8056.15,-3585.28,927,0
2020-01-20,Clothing,South,447,17190.56,3760.71,33,167,0.0435,140,126.93,30,0.0671,1692.31,9244.75,-5484.04,1107,0
2020-01-20,Clothing,East,509,11116.27,3404.74,21,100,0.0377,131,81.33,47,0.0923,1288.51,6882.53,-3477.79,843,1
2020-01-20,Clothing,West,410,17561.99,5709.72,26,96,0.045,158,106.44,9,0.022,2158.87,9204.47,-3494.75,989,2
2020-01-20,Groceries,North,680,13238.49,2780.85,85,252,0.0361,503,26.94,49,0.0721,740.25,3316.32,-535.47,1534,2
2020-01-20,Groceries,South,761,7970.12,2976.19,35,223,0.0669,244,33.23,64,0.0841,777.97,3233.26,-257.07,1180,2
2020-01-20,Groceries,East,599,8663.54,2138.99,46,211,0.0551,272,32.13,41,0.0684,745.42,3825.29,-1686.3,1448,1
2020-01-20,Groceries,West,915,8541.87,2884.67,91,245,0.052,264,33.5,90,0.0984,1309.31,3850.79,-966.12,1908,3
2020-01-20,Furniture,North,102,61200.89,20674.66,2,15,0.0551,79,795.07,6,0.0588,4741.28,17239.52,3435.14,224,2
2020-01-20,Furniture,South,111,51556.96,23186.48,17,34,0.0474,55,929.32,7,0.0631,3925.92,25056.69,-1870.21,291,1
2020-01-20,Furniture,East,136,59964.07,23156.7,17,41,0.0331,69,910.6,6,0.0441,4471.88,23895.27,-738.57,324,1
2020-01-20,Furniture,West,85,50199.91,15774.42,8,32,0.0465,73,685.89,6,0.0706,3548.7,19569.87,-3795.45,313,1
2020-01-20,Sports,North,292,19613.92,7447.0,15,65,0.0313,98,203.88,6,0.0205,2251.86,9049.55,-1602.55,551,0
2020-01-20,Sports,South,256,25778.08,10977.75,13,83,0.0432,119,212.5,11,0.043,1607.7,7739.83,3237.92,425,1
2020-01-20,Sports,East,310,15871.39,3742.15,24,75,0.0489,77,197.95,12,0.0387,1885.67,7132.81,-3390.66,552,0
2020-01-20,Sports,West,200,18361.14,7552.41,13,79,0.0533,75,251.09,11,0.055,1713.21,9308.44,-1756.03,443,1
2020-01-27,Electronics,North,261,49282.78,10460.82,23,61,0.0536,87,552.94,24,0.092,5310.1,25961.48,-15500.66,468,0
2020-01-27,Electronics,South,258,55165.84,23492.42,1,73,0.0478,93,585.67,14,0.0543,7391.82,31333.3,-7840.88,652,2
2020-01-27,Electronics,East,319,95424.49,38896.75,25,83,0.0563,171,535.88,18,0.0564,10838.87,30223.19,8673.56,563,2
2020-01-27,Electronics,West,374,66999.06,26876.47,1,54,0.0514,95,673.77,7,0.0187,5501.19,33426.77,-6550.3,567,0
2020-01-27,Clothing,North,439,17760.2,6044.72,39,151,0.0449,194,88.16,11,0.0251,1705.89,7516.73,-1472.01,946,3
2020-01-27,Clothing,South,391,22847.39,7160.62,69,100,0.0391,186,127.48,37,0.0946,1616.72,9273.25,-2112.63,1165,3
2020-01-27,Clothing,East,333,21268.6,9307.96,36,147,0.0378,246,86.95,24,0.0721,1149.38,6692.21,2615.75,785,1
2020-01-27,Clothing,West,448,16090.73,3304.06,29,113,0.0422,154,103.48,13,0.029,2210.42,9050.4,-5746.34,992,1
2020-01-27,Groceries,North,811,10247.54,2420.18,84,277,0.0411,347,28.51,27,0.0333,717.96,3332.47,-912.29,1620,3
2020-01-27,Groceries,South,781,9027.46,2880.31,42,253,0.0436,267,33.0,22,0.0282,711.34,3268.99,-388.68,1246,2
2020-01-27,Groceries,East,633,12612.72,4685.93,90,175,0.0516,388,32.83,16,0.0253,802.29,4045.2,640.73,1566,3
2020-01-27,Groceries,West,768,6973.66,1567.64,94,239,0.0442,197,35.03,55,0.0716,1237.54,3640.6,-2072.96,1872,3
2020-01-27,Furniture,North,99,56124.02,16476.62,13,34,0.0566,69,800.18,2,0.0202,4355.19,17727.05,-1250.43,235,1
2020-01-27,Furniture,South,118,47529.13,17411.59,16,38,0.0412,53,910.1,9,0.0763,4537.95,23637.18,-6225.59,294,3
2020-01-27,Furniture,East,147,72190.16,24799.12,8,58,0.033,74,950.58,14,0.0952,4787.24,24198.5,600.62,303,1
2020-01-27,Furniture,West,117,37399.62,7537.01,7,43,0.0467,53,717.14,6,0.0513,3607.97,19728.72,-12191.71,324,2
2020-01-27,Sports,North,214,20259.12,4482.11,10,73,0.0416,90,223.59,14,0.0654,1901.56,8307.84,-3825.73,465,0
2020-01-27,Sports,South,211,13878.54,4464.15,24,54,0.0405,67,203.51,10,0.0474,1636.58,7643.38,-3179.23,441,3
2020-01-27,Sports,East,249,16426.83,6175.14,23,60,0.0484,85,195.6,21,0.0843,1885.38,7342.57,-1167.43,533,0
2020-01-27,Sports,West,184,18773.48,3852.58,13,60,0.0553,79,247.15,12,0.0652,1837.62,8180.19,-4327.61,484,3
2020-02-03,Electronics,North,229,49968.41,12094.01,27,67,0.059,90,564.63,13,0.0568,5617.74,22478.85,-10384.84,476,0
2020-02-03,Electronics,South,288,49007.69,11971.92,13,79,0.0464,75,643.43,23,0.0799,7416.96,30993.62,-19021.7,671,0
2020-02-03,Electronics,East,304,75030.56,20686.31,29,79,0.0517,145,520.46,18,0.0592,9976.88,31559.93,-10873.62,643,3
2020-02-03,Electronics,West,293,47244.45,18801.14,27,78,0.044,71,661.82,24,0.0819,5493.88,32662.02,-13860.88,573,2
2020-02-03,Clothing,North,450,15724.1,4118.71,27,127,0.0476,186,87.4,27,0.06,1666.93,8312.44,-4193.73,950,3
2020-02-03,Clothing,South,464,19861.61,5383.23,48,119,0.0391,157,124.29,42,0.0905,1744.16,8942.93,-3559.7,1103,2
2020-02-03,Clothing,East,418,6275.6,1846.09,17,152,0.0336,79,80.98,30,0.0718,1319.74,6381.45,-4535.36,793,0
2020-02-03,Clothing,West,387,20665.7,6645.42,50,110,0.0469,185,106.92,10,0.0258,2278.35,8983.03,-2337.61,999,0
2020-02-03,Groceries,North,769,11748.06,4791.28,113,262,0.034,413,29.44,25,0.0325,690.15,3401.39,1389.89,1560,2
2020-02-03,Groceries,South,776,8224.32,2609.2,56,263,0.046,247,32.3,74,0.0954,884.95,3264.82,-655.62,1185,2
2020-02-03,Groceries,East,861,11042.22,4621.49,95,232,0.0507,350,31.11,75,0.0871,768.01,3832.0,789.49,1539,1
2020-02-03,Groceries,West,735,11540.27,2385.0,106,300,0.0543,365,32.1,28,0.0381,1312.6,3970.29,-1585.29,1935,2
2020-02-03,Furniture,North,115,35347.78,8296.06,18,24,0.0442,44,787.91,2,0.0174,4502.26,18101.08,-9805.02,230,0
2020-02-03,Furniture,South,134,52778.47,21030.89,15,35,0.0477,56,950.09,12,0.0896,4098.93,23828.92,-2798.03,294,1
2020-02-03,Furniture,East,134,42698.62,18943.82,14,64,0.0399,48,928.01,8,0.0597,4931.56,25216.78,-6272.96,291,2
2020-02-03,Furniture,West,118,44981.96,16061.45,7,36,0.0447,62,709.0,5,0.0424,3682.06,19094.85,-3033.4,303,1
2020-02-03,Sports,North,216,19884.33,6252.03,16,62,0.042,94,205.85,7,0.0324,2459.84,9069.86,-2817.83,408,1
2020-02-03,Sports,South,211,11540.35,3265.7,34,67,0.0438,55,202.42,19,0.09,1638.63,7207.68,-3941.98,412,4
2020-02-03,Sports,East,287,17076.2,5987.14,17,92,0.045,92,193.77,13,0.0453,1840.97,7303.33,-1316.19,521,1
2020-02-03,Sports,West,222,23273.36,6252.13,14,114,0.0496,89,249.09,5,0.0225,1626.29,8614.44,-2362.31,473,1
2020-02-10,Electronics,North,217,53074.45,15475.56,24,57,0.0661,95,543.54,14,0.0645,4689.87,19886.94,-4411.38,460,2
2020-02-10,Electronics,South,225,86272.43,28017.92,50,62,0.0524,129,653.38,9,0.04,7381.3,33512.86,-5494.94,657,1
2020-02-10,Electronics,East,321,57929.0,12857.21,33,66,0.0454,108,539.34,14,0.0436,10035.62,31209.26,-18352.05,494,1
2020-02-10,Electronics,West,317,72842.25,18228.42,15,82,0.0515,113,669.99,7,0.0221,5289.59,33350.23,-15121.81,613,0
2020-02-10,Clothing,North,374,18444.81,7485.55,27,178,0.0503,187,96.05,26,0.0695,1496.42,8218.72,-733.17,923,4
2020-02-10,Clothing,South,536,12583.73,2907.35,63,140,0.0449,102,129.11,24,0.0448,1692.37,8890.42,-5983.07,1246,1
2020-02-10,Clothing,East,393,18360.48,5978.97,42,172,0.0451,226,80.97,12,0.0305,1239.07,6431.17,-452.2,737,0
2020-02-10,Clothing,West,432,16171.26,6334.93,31,73,0.0476,151,105.5,25,0.0579,2187.55,8923.09,-2588.16,1032,1
2020-02-10,Groceries,North,822,12755.38,3201.67,101,214,0.0378,450,28.39,63,0.0766,716.21,3132.57,69.1,1585,3
2020-02-10,Groceries,South,763,8550.56,2330.48,68,206,0.0575,267,33.37,30,0.0393,850.16,3226.78,-896.3,1172,3
2020-02-10,Groceries,East,725,8038.27,3507.16,78,162,0.0509,261,32.34,26,0.0359,735.14,3983.36,-476.2,1452,2
2020-02-10,Groceries,West,751,2826.56,1105.08,104,236,0.056,92,30.04,49,0.0652,1262.14,4231.53,-3126.45,1898,2
2020-02-10,Furniture,North,134,70719.64,28197.64,18,18,0.0572,90,794.2,10,0.0746,4410.06,18481.7,9715.94,224,0
2020-02-10,Furniture,South,118,37812.91,13358.05,12,48,0.0551,41,938.41,9,0.0763,4063.52,24898.14,-11540.09,307,0
2020-02-10,Furniture,East,153,43550.27,17384.78,2,45,0.0339,47,918.91,3,0.0196,4147.88,25671.65,-8286.87,311,0
2020-02-10,Furniture,West,108,28235.02,6690.12,7,33,0.0488,39,700.09,10,0.0926,3444.9,18917.13,-12227.01,295,2
2020-02-10,Sports,North,255,19546.62,4584.09,13,68,0.0447,103,198.46,18,0.0706,1799.17,8645.87,-4061.78,503,3
